date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:09:29	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Feb%202024%2006:09:28%20GMT	https://site-production-3217.up.railway.app/robots.txt		(from )
03:09:30	931788/931788	---M--	200	added ('OK')	text/html	etag:%2265cf761a-e37cc%22	https://site-production-3217.up.railway.app/simulador/	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/index.html	(from )
03:09:31	60859/60859	---M--	200	added ('OK')	text/css	etag:%2265cf761a-edbb%22	https://site-production-3217.up.railway.app/simulador/css/bootstrap-icons.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/css/bootstrap-icons.css	(from https://site-production-3217.up.railway.app/simulador/)
03:09:31	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Feb%202024%2006:09:30%20GMT	https://site-production-3217.up.railway.app/simulador/Simulador%20de%20investimento%20_%20Binance%20invest_files/classic-themes.min.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/Simulador%20de%20investimento%20_%20Binance%20invest_files/classic-themes.min.1.delayed	(from https://site-production-3217.up.railway.app/simulador/)
03:09:32	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Feb%202024%2006:09:32%20GMT	https://site-production-3217.up.railway.app/simulador/Simulador%20de%20investimento%20_%20Binance%20invest_files/frontend.min.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/Simulador%20de%20investimento%20_%20Binance%20invest_files/frontend.min.3.delayed	(from https://site-production-3217.up.railway.app/simulador/)
03:09:33	742002/742002	---M--	200	added ('OK')	text/html	etag:%2265cf761a-b5272%22	https://site-production-3217.up.railway.app/simulador/simulador.html	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/simulador.html	(from https://site-production-3217.up.railway.app/simulador/)
03:09:33	13825/13825	---M--	200	added ('OK')	text/css	etag:%2265cf761a-3601%22	https://site-production-3217.up.railway.app/simulador/css/flatpickr.min.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/css/flatpickr.min.css	(from https://site-production-3217.up.railway.app/simulador/)
03:09:34	14965/14965	---M--	200	added ('OK')	text/css	etag:%2265cf761a-3a75%22	https://site-production-3217.up.railway.app/simulador/css/select2.min.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/css/select2.min.css	(from https://site-production-3217.up.railway.app/simulador/)
03:09:35	396188/396188	---M--	200	added ('OK')	text/css	etag:%2265cf761a-60b9c%22	https://site-production-3217.up.railway.app/simulador/css/style.css	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/simulador/css/style.css	(from https://site-production-3217.up.railway.app/simulador/)
03:09:35	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Feb%202024%2006:09:34%20GMT	https://site-production-3217.up.railway.app/novosite/wp-content/uploads/2019/12/favicon-minas-capital-maior.png	C:/Users/rafae/OneDrive/%c3%81rea%20de%20Trabalho/Pag2/Pagina2/site-production-3217.up.railway.app/novosite/wp-content/uploads/2019/12/favicon-minas-capital-maior.7.delayed	(from https://site-production-3217.up.railway.app/simulador/)
